# Metadata,# In some references the name of the compilation author is mentioned,,,,,,,,,,,,,,,,,,,,,,,,,
Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,,
,,39.71,19.8,26,,1.69,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,50.22,19.8,32,,1.74,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,47.92,19.89,30,,1.62,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,44.1,19.99,28,,1.78,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,44.8,20.52,31,,1.73,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,37.18,21.93,38,,1.91,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,37.18,21.93,35,,1.81,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,49.63,22.71,38,,1.7,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,54.01,23.18,44,,1.84,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,42.62,23.24,36,,1.87,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,35.41,23.93,36,,2.08,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,34.98,24.89,38,,1.96,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,35.29,24.89,42,,1.94,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,36.37,25.46,22,,2.02,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,35.18,25.5,29,,1.85,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,37.07,25.53,24,,1.74,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,41.15,25.54,34,,1.72,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,45.49,25.95,45,,1.8,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,35.11,26.22,44,,1.8,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,58.38,26.72,45,,1.73,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,58.46,26.73,45,,1.74,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,69.76,27.01,47,,1.72,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,44.46,28.41,35,,1.6,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,50.69,29.21,36,,1.87,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,59.77,30.32,50,,1.82,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,67.9,34.65,40,,1.7,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,55.11,36.57,50,,1.66,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,54.96,37.77,52,,1.7,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,43.96,42.69,50,,1.73,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,56.43,58.56,39,,1.71,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,49.26,59.94,43,,1.8,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,37.93,-1.89,41,,1.75,,,,,,,,,Europe,Artemieva2013,Stephenson 2024,Hk,-,,,,,,,
,,47.58,8.25,27,,1.71,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.34,6.95,38,,1.67,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.34,7.69,27,,1.73,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.41,10.02,53,,1.75,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,48.33,8.33,26,,1.68,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.87,8.43,37,,1.74,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,45.05,6.68,53,,1.72,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.39,7.18,27,,1.76,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.94,6.47,28,,1.87,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,43.75,6.92,31,,1.7,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.28,9.88,39,,1.71,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.78,9.88,50,,1.79,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.08,7.41,46,,1.76,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,44.5,7.25,53,,1.96,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,48.22,7.16,25,,1.71,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.06,6.9,39,,1.79,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,43.83,7.37,30,,1.67,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.57,8.57,27,,1.75,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.62,10.26,58,,1.86,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,48.16,11.28,28,,1.91,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.53,6.27,29,,1.72,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.25,7.11,39,,1.72,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,48.07,9.11,27,,1.74,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.76,8.15,40,,1.67,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.29,9.49,37,,1.67,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.96,7.92,24,,1.73,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.39,7.63,41,,1.71,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.39,7.63,41,,1.72,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.85,9.01,43,,1.59,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.05,10.51,38,,1.64,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.31,6.39,27,,1.72,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,45.77,9.72,33,,1.67,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.05,9.38,41,,1.67,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.05,7.96,51,,1.72,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,45.92,9.04,35,,1.75,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.97,8.64,34,,1.67,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.04,5.46,31,,1.74,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,44.79,6.54,43,,1.63,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,44.11,6.22,37,,1.74,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.05,9.38,40,,1.66,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,44.11,8.07,23,,1.99,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,45.69,6.62,38,,1.9,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,43.99,7.55,37,,1.76,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.36,7.3,41,,1.66,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.77,8.49,27,,1.67,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.67,8.87,26,,1.8,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,44.26,6.93,44,,1.78,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,48.77,9.2,24,,1.72,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.53,8.11,25,,1.78,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.77,6.96,31,,1.76,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.65,8.68,28,,1.68,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.48,9.45,49,,1.69,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.53,8.98,30,,1.75,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.41,8.91,32,,1.7,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,46.67,7.62,40,,1.54,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.26,11.64,51,,1.79,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,47.37,8.58,30,,1.72,,,,,,,,,Europe,Lombardi2008,Stephenson 2024,Hk,CSS_combined,,,,,,,
,,39.35,-9.2866,29,,1.68,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.9122,-9.2835,27,,1.83,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.949,-8.9765,27,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.1971,-8.8626,26,,1.79,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.6723,-8.7884,29,,1.82,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.1482,-8.6968,30,,1.76,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.3063,-8.6508,29,,1.74,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.1118,-8.529,30,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.8526,-8.4988,28,,1.81,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.0529,-8.4985,27,,1.76,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,43.1522,-8.4951,28,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.6261,-8.4752,27,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,39.618,-8.4107,32,,1.69,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.9598,-8.2386,30,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.8395,-8.2199,29,,1.69,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.5669,-8.1782,30,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.8674,-8.0611,29,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.3605,-8.0408,28,,1.75,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.632,-8.039,29,,1.73,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.529,-8.0167,30,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.8515,-7.9689,27,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.244,-7.9317,29,,1.76,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,43.3081,-7.8656,29,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.3738,-7.7942,30,,1.68,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.4039,-7.7175,29,,1.73,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.1079,-7.6383,31,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.8672,-7.5901,30,,1.75,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.3997,-7.5442,30,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.9373,-7.5104,28,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.9447,-7.4988,29,,1.65,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.5342,-7.4831,29,,1.75,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,39.8396,-7.4787,30,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,39.4088,-7.3896,33,,1.67,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.1238,-7.3471,31,,1.69,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.5548,-7.1831,29,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,43.327,-7.1494,26,,1.715,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.4969,-7.1304,30,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.1729,-7.0609,32,,1.73,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.967,-7.0568,30,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.967,-7.0568,28,,1.68,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.7556,-7.0133,32,,1.77,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.1645,-7.003,29,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.6647,-6.9899,29,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.4021,-6.9513,32,,1.75,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.9504,-6.8722,31,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.2337,-6.8578,31,,1.73,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.4192,-6.7651,30,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.9413,-6.7371,32,,1.68,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.7675,-6.6724,29,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,39.7501,-6.5946,32,,1.69,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.8923,-6.5647,30,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.6666,-6.4826,30,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.4208,-6.4807,31,,1.69,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.9886,-6.4431,25,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,43.27,-6.3765,35,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.2333,-6.2108,33,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,39.2847,-6.1889,33,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.4397,-6.1831,31,,1.73,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.1293,-6.1348,30,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.99,-6.127,32,,1.73,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.63,-6.1,38,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.8199,-6.0477,38,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.2103,-5.9905,25,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.9803,-5.9548,30,,1.77,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.8855,-5.8816,32,,1.75,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.716,-5.8788,29,,1.75,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.6505,-5.8749,33,,1.66,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.8686,-5.8562,40,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.1742,-5.8392,41,,1.75,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.5614,-5.7954,32,,1.67,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,43.2292,-5.7227,33,,1.74,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.4543,-5.692,32,,1.78,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.5299,-5.6494,40,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.4684,-5.6264,30,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.371,-5.5249,27,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.061,-5.5137,34,,1.74,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,39.312,-5.503,28,,1.8,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.0267,-5.479,31,,1.75,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.1428,-5.4534,35,,1.66,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.8906,-5.4193,34,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.0753,-5.4186,29,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.9061,-5.4038,40,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.1114,-5.3779,31,,1.82,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.4294,-5.266,39,,1.69,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.8466,-5.2582,28,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,43.3012,-5.2099,36,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,39.7364,-5.1524,33,,1.73,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.6016,-5.1339,34,,1.73,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.5926,-5.0872,35,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.4267,-5.0625,34,,1.74,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.9492,-5.0446,38,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.3393,-4.9967,30,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.0057,-4.9163,31,,1.68,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.0057,-4.9163,32,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.2113,-4.8661,34,,1.74,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.5653,-4.8445,26,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,39.175,-4.8329,32,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.2159,-4.8036,35,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.0723,-4.7911,35,,1.81,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.5645,-4.7727,20,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.9852,-4.7343,31,,1.88,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.8226,-4.6949,32,,1.68,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,39.7615,-4.6337,33,,1.69,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.9062,-4.6081,31,,1.73,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,43.3519,-4.6015,35,,1.74,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.1673,-4.5771,29,,1.75,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.9641,-4.5339,44,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.5365,-4.4576,35,,1.8,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.762,-4.428,23,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.6114,-4.4157,35,,1.74,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.9012,-4.3818,30,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.4821,-4.3637,34,,1.83,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,39.5458,-4.3483,30,,1.76,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.5593,-4.268,26,,1.7,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.6093,-4.1966,32,,1.68,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.2827,-4.1883,37,,1.74,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.1464,-4.154,42,,1.77,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,39.1026,-4.1336,30,,1.73,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.0854,-4.0896,33,,1.74,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.9174,-4.0885,37.7,,1.76,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,43.2448,-3.9987,40,,1.73,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.2214,-3.9705,30,,1.69,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,39.6744,-3.963,31,,1.75,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.7225,-3.9241,32,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.8868,-3.885,37,,1.74,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,36.7623,-3.8453,27,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.5317,-3.8004,28,,1.69,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.4956,-3.7578,39,,1.68,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,37.2383,-3.7277,45,,1.72,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,38.6498,-3.6572,31,,1.73,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,42.4109,-3.6504,37,,1.67,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,41.079,-3.5469,41,,1.66,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
,,40.0747,-3.5228,35,,1.71,,,,,,,,,Europe,Mancilla2015,Stephenson 2024,Hk,-,,,,,,,
