Net,Station,Lat,Long,Moho_km,err_moho,Avg_Vp/Vs,Poisson’s_ratio,Elevation,Avg_Vp(km/s),Vp_err,Avg_Vs(km/s),Vs_err,N,Sediment,Location,Reference,Compilation,Comments (Method - other notes etc.),Sub-methods,Comments2,H2 (other methods),err,Vsn2,κ2,Unnamed: 25,Unnamed: 26
,,-41.4,147.13,24.8,,-,,,,,,,,,GSC_global_database,80R.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-40.733,-70.551,36.0,,-,,,,,,,,,America_South,Assumpcao2013,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-39.0,-72.4,32.0,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-39.0,-71.8,38.0,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-39.0,-70.8,38.0,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-39.0,-70.5,30.0,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-39.0,-70.0,30.0,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-39.0,-69.6,33.0,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-39.0,-68.7,33.0,,-,,,,,,,,,America_South,Yuan2006,Stephenson 2024,RF_other,grid_search,,,,,,,
,,-38.91,-70.61,31.0,,-,,,,,,,,,GSC_global_database,06Y.1,Stephenson 2024,RF_other,unknown,,,,,,,
,,-38.88,-71.85,25.8,,-,,,,,,,,,GSC_global_database,02B.4,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-38.82,-72.87,55.1,,-,,,,,,,,,GSC_global_database,02B.4,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-38.51,-71.42,22.0,,-,,,,,,,,,GSC_global_database,06K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-38.35,-72.11,40.4,,-,,,,,,,,,GSC_global_database,06K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-38.28,-73.21,41.4,,-,,,,,,,,,GSC_global_database,06K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-38.21,-72.68,40.1,,-,,,,,,,,,GSC_global_database,06K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-38.057,-61.979,41.0,,-,,,,,,,,,America_South,Assumpcao2013,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-37.9,143.0,30.6,,-,,,,,,,,,GSC_global_database,69T.1,Stephenson 2024,Refraction,S_reversed,,,,,,,
,,-37.8,145.0,35.6,,-,,,,,,,,,GSC_global_database,88C.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-37.7,175.5,27.5,,-,,,,,,,,,New_Zealand,Horspool_2006,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-37.34,-71.69,29.9,,-,,,,,,,,,GSC_global_database,06K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-37.33,-72.09,28.6,,-,,,,,,,,,GSC_global_database,06K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-37.25,-73.13,35.5,,-,,,,,,,,,GSC_global_database,06K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-37.2,175.2,28.0,,-,,,,,,,,,New_Zealand,Horspool_2006,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-36.8,174.7,28.0,,-,,,,,,,,,New_Zealand,Horspool_2006,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-36.71,148.52,48.5,,-,,,,,,,,,GSC_global_database,79F.1,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-36.52,-71.8,40.1,,-,,,,,,,,,GSC_global_database,06K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-36.4,-72.31,35.2,,-,,,,,,,,,GSC_global_database,06K.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-36.2,-68.4,25.0,,-,,,,,,,,,America_South,Heit2008,Stephenson 2024,RF_other,S_to_P,,,,,,,
,,-36.13,148.62,36.3,,-,,,,,,,,,GSC_global_database,59D.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-36.11,148.18,48.0,,-,,,,,,,,,GSC_global_database,80F.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-36.04,147.68,40.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-36.0,-71.0,52.0,,-,,,,,,,,,America_South,Gilbert2006,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-36.0,-70.5,50.0,,-,,,,,,,,,America_South,Gilbert2006,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-36.0,-70.0,40.0,,-,,,,,,,,,America_South,Gilbert2006,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-36.0,-69.4,37.0,,-,,,,,,,,,America_South,Gilbert2006,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-36.0,-69.0,40.0,,-,,,,,,,,,America_South,Heit2008,Stephenson 2024,RF_other,S_to_P,,,,,,,
,,-36.0,-68.8,35.0,,-,,,,,,,,,America_South,Gilbert2006,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-36.0,-67.8,35.0,,-,,,,,,,,,America_South,Gilbert2006,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-35.99,149.04,47.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-35.9,174.2,27.0,,-,,,,,,,,,New_Zealand,Horspool_2006,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-35.87,147.34,41.0,,-,,,,,,,,,GSC_global_database,79F.1,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-35.87,147.7,43.25,,-,,,,,,,,,GSC_global_database,79F.1,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-35.8,-70.5,49.0,,-,,,,,,,,,America_South,Heit2008,Stephenson 2024,RF_other,S_to_P,,,,,,,
,,-35.8,-69.6,53.0,,-,,,,,,,,,America_South,Heit2008,Stephenson 2024,RF_other,S_to_P,,,,,,,
,,-35.73,149.07,41.8,,-,,,,,,,,,GSC_global_database,66D.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-35.5,-72.3,40.0,,-,,,,,,,,,America_South,Heit2008,Stephenson 2024,RF_other,S_to_P,,,,,,,
,,-35.44,147.06,38.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-35.4,147.83,45.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-35.39,148.43,43.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-35.31,149.3,47.5,,-,,,,,,,,,GSC_global_database,80F.1,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-35.3,173.5,26.0,,-,,,,,,,,,New_Zealand,Horspool_2006,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-34.9,138.6,40.0,,-,,,,,,,,,GSC_global_database,86D.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-34.89,-72.15,30.1,,-,,,,,,,,,GSC_global_database,11M.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-34.86,147.35,41.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-34.86,148.46,41.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-34.83,149.46,43.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-34.81,149.95,40.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-34.6,149.32,42.75,,-,,,,,,,,,GSC_global_database,81F.1,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-34.5,148.3,45.0,,-,,,,,,,,,GSC_global_database,80F.1,Stephenson 2024,Refraction,S_reversed,,,,,,,
,,-34.5,172.9,25.5,,-,,,,,,,,,New_Zealand,Horspool_2006,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-34.37,146.81,38.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-34.33,149.46,36.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-34.28,142.0,30.6,,-,,,,,,,,,GSC_global_database,76B.1,Stephenson 2024,Reflection,-,,,,,,,
,,-34.14,24.8,31.1,,-,,,,,,,,,GSC_global_database,09P.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-34.09,150.41,40.25,,-,,,,,,,,,GSC_global_database,81F.1,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-34.05,150.5,35.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-34.02,144.4,35.0,,-,,,,,,,,,GSC_global_database,77M.5,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-34.01,22.35,31.0,,-,,,,,,,,,Africa,Stankiewicz2008,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-34.0,144.9,40.7,,-,,,,,,,,,GSC_global_database,69T.1,Stephenson 2024,Refraction,S_reversed,,,,,,,
,,-33.87,151.1,40.0,,-,,,,,,,,,GSC_global_database,86D.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.85,147.3,32.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.84,-70.21,50.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.84,146.25,37.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.84,151.23,24.6,,-,,,,,,,,,GSC_global_database,66D.2,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.83,148.45,31.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.8,149.46,38.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.78,-70.4,42.0,,-,,,,,,,,,America_South,McGlashan2008,Stephenson 2024,RF_other,forward_model,,,,,,,
,,-33.72,22.27,37.6,,-,,,,,,,,,GSC_global_database,09P.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.67,24.75,40.3,,-,,,,,,,,,GSC_global_database,09P.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.64,-71.56,34.5,,-,,,,,,,,,GSC_global_database,98F.4,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.62,-69.51,50.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.6,-67.44,40.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.59,-69.51,48.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-33.58,-70.41,40.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.5,22.1,42.0,,-,,,,,,,,,Africa,Parsiegla2009,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.5,22.17,36.5,,-,,,,,,,,,Africa,Stankiewicz2008,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.5,24.62,40.0,,-,,,,,,,,,Africa,Parsiegla2009,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.5,115.88,41.5,,-,,,,,,,,,GSC_global_database,65E.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.48,-70.14,50.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.44,146.26,38.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.39,-71.19,35.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.37,148.44,41.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.35,148.92,41.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.33,22.17,39.5,,-,,,,,,,,,Africa,Stankiewicz2008,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.33,149.99,38.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.32,-70.29,41.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-33.31,26.51,35.5,,-,,,,,,,,,Africa,Kgaswane2009,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.29,22.09,43.6,,-,,,,,,,,,GSC_global_database,09P.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.25,150.85,42.25,,-,,,,,,,,,GSC_global_database,81F.1,Stephenson 2024,Refraction,P_unreversed,,,,,,,
,,-33.15,22.03,40.5,,-,,,,,,,,,Africa,Stankiewicz2008,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.14,-70.66,37.5,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-33.09,-68.83,45.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-33.06,22.07,44.62,,-,,,,,,,,,Africa,Lindeque2007,Stephenson 2024,Reflection,-,,,,,,,
,,-33.02,21.95,40.5,,-,,,,,,,,,Africa,Stankiewicz2008,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-33.02,22.03,41.9,,-,,,,,,,,,Africa,Lindeque2007,Stephenson 2024,Reflection,-,,,,,,,
,,-32.91,148.89,29.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.9,148.91,37.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.89,147.3,35.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.88,147.86,37.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.88,149.5,39.0,,-,,,,,,,,,Australia,Tkalcic2012,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.87,-68.17,45.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.86,-67.42,40.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.85,-70.71,50.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.84,124.77,32.0,,-,,,,,,,,,GSC_global_database,74M.1,Stephenson 2024,Reflection,-,,,,,,,
,,-32.83,-71.1,35.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.83,-70.27,50.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.83,-66.08,41.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-32.79,-69.65,50.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.77,24.64,29.95,,-,,,,,,,,,GSC_global_database,09P.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-32.72,-69.51,50.0,,-,,,,,,,,,America_South,McGlashan2008,Stephenson 2024,RF_other,forward_model,,,,,,,
,,-32.6,-69.5,61.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-32.5,-70.58,45.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.46,22.0,42.58,,-,,,,,,,,,Africa,Lindeque2007,Stephenson 2024,Reflection,-,,,,,,,
,,-32.41,-65.71,39.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-32.41,21.8,40.0,,-,,,,,,,,,Africa,Stankiewicz2008,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-32.39,-68.05,50.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.34,21.56,42.72,,-,,,,,,,,,Africa,Lindeque2007,Stephenson 2024,Reflection,-,,,,,,,
,,-32.3,21.53,43.26,,-,,,,,,,,,Africa,Lindeque2007,Stephenson 2024,Reflection,-,,,,,,,
,,-32.28,-67.19,44.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-32.28,21.66,39.5,,-,,,,,,,,,Africa,Stankiewicz2008,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-32.27,-67.19,50.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.24,141.3,36.49,,-,,,,,,,,,GSC_global_database,76B.1,Stephenson 2024,Reflection,-,,,,,,,
,,-32.22,-69.34,60.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.22,21.5,44.75,,-,,,,,,,,,Africa,Lindeque2007,Stephenson 2024,Reflection,-,,,,,,,
,,-32.21,-69.38,59.5,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-32.1,-68.77,55.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.06,21.38,45.0,,-,,,,,,,,,Africa,Lindeque2007,Stephenson 2024,Reflection,-,,,,,,,
,,-32.03,-70.58,40.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-32.03,21.52,39.0,,-,,,,,,,,,Africa,Stankiewicz2008,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-32.01,-69.57,53.0,,-,,,,,,,,,America_South,McGlashan2008,Stephenson 2024,RF_other,forward_model,,,,,,,
,,-32.0,-70.5,52.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-32.0,-70.0,61.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-32.0,-69.5,61.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-32.0,-69.0,55.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-32.0,-68.5,55.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-32.0,118.3,34.51,,-,,,,,,,,,GSC_global_database,86D.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-31.9729,137.0388,46.28,,-,,,,,,,,,Australia,Agrawal2023,Stephenson 2024,RF_other,-,,,,,,,
,,-31.94,115.99,44.4,,-,,,,,,,,,GSC_global_database,74M.1,Stephenson 2024,Refraction,P_reversed,,,,,,,
,,-31.93,-69.9,58.0,,-,,,,,,,,,America_South,McGlashan2008,Stephenson 2024,RF_other,forward_model,,,,,,,
,,-31.8992,137.5351,48.06,,-,,,,,,,,,Australia,Agrawal2023,Stephenson 2024,RF_other,-,,,,,,,
,,-31.79,-69.38,56.0,,-,,,,,,,,,America_South,McGlashan2008,Stephenson 2024,RF_other,forward_model,,,,,,,
,,-31.75,-71.17,30.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-31.7239,136.6298,44.5,,-,,,,,,,,,Australia,Agrawal2023,Stephenson 2024,RF_other,-,,,,,,,
,,-31.71,-70.75,45.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-31.68,-69.57,59.0,,-,,,,,,,,,America_South,McGlashan2008,Stephenson 2024,RF_other,forward_model,,,,,,,
,,-31.58,-68.4,54.0,,-,,,,,,,,,America_South,McGlashan2008,Stephenson 2024,RF_other,forward_model,,,,,,,
,,-31.58,-67.87,50.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-31.57,-67.88,52.5,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-31.5619,137.4538,46.28,,-,,,,,,,,,Australia,Agrawal2023,Stephenson 2024,RF_other,-,,,,,,,
,,-31.55,-68.68,60.0,,-,,,,,,,,,America_South,Maksymowicz2007,Stephenson 2024,RF_SW_joint,-,,,,,,,
,,-31.51,-66.24,47.5,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-31.5048,137.0145,46.28,,-,,,,,,,,,Australia,Agrawal2023,Stephenson 2024,RF_other,-,,,,,,,
,,-31.5,-70.5,57.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
,,-31.5,-70.0,62.0,,-,,,,,,,,,America_South,Gans2011,Stephenson 2024,RF_other,CCP_stack,,,,,,,
